Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 9 [20480/49000 (42%)]	Train Loss: 1.623142	Val Loss: 1.751897	Val Acc: 71
Train Epoch: 9 [25600/49000 (52%)]	Train Loss: 1.642998	Val Loss: 1.753214	Val Acc: 71
Train Epoch: 9 [30720/49000 (62%)]	Train Loss: 1.609953	Val Loss: 1.754948	Val Acc: 70
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 1.686056	Val Loss: 1.748499	Val Acc: 71
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 1.630701	Val Loss: 1.751310	Val Acc: 70
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 1.659808	Val Loss: 1.760474	Val Acc: 70
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 1.740054	Val Loss: 1.748662	Val Acc: 71
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 1.629549	Val Loss: 1.750012	Val Acc: 71
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 1.619341	Val Loss: 1.739698	Val Acc: 72
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 1.642311	Val Loss: 1.741347	Val Acc: 72
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 1.635416	Val Loss: 1.754999	Val Acc: 70
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 1.632272	Val Loss: 1.751009	Val Acc: 70
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 1.645398	Val Loss: 1.758987	Val Acc: 69
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 1.621532	Val Loss: 1.752000	Val Acc: 70
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 1.617416	Val Loss: 1.745176	Val Acc: 71
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 1.613191	Val Loss: 1.745606	Val Acc: 71
Train Epoch: 11 [0/49000 (0%)]	Train Loss: 1.726036	Val Loss: 1.748340	Val Acc: 70
Train Epoch: 11 [5120/49000 (10%)]	Train Loss: 1.613432	Val Loss: 1.752817	Val Acc: 70
Train Epoch: 11 [10240/49000 (21%)]	Train Loss: 1.607201	Val Loss: 1.747335	Val Acc: 71
Train Epoch: 11 [15360/49000 (31%)]	Train Loss: 1.590566	Val Loss: 1.746976	Val Acc: 71
Train Epoch: 11 [20480/49000 (42%)]	Train Loss: 1.605286	Val Loss: 1.738657	Val Acc: 72
Train Epoch: 11 [25600/49000 (52%)]	Train Loss: 1.601994	Val Loss: 1.736025	Val Acc: 72
Train Epoch: 11 [30720/49000 (62%)]	Train Loss: 1.591959	Val Loss: 1.739483	Val Acc: 72
Train Epoch: 11 [35840/49000 (73%)]	Train Loss: 1.575606	Val Loss: 1.747531	Val Acc: 71
Train Epoch: 11 [40960/49000 (83%)]	Train Loss: 1.602443	Val Loss: 1.759902	Val Acc: 69
Train Epoch: 11 [46080/49000 (94%)]	Train Loss: 1.603456	Val Loss: 1.745859	Val Acc: 71
Train Epoch: 12 [0/49000 (0%)]	Train Loss: 1.694264	Val Loss: 1.749382	Val Acc: 70
Train Epoch: 12 [5120/49000 (10%)]	Train Loss: 1.573519	Val Loss: 1.760268	Val Acc: 69
